Hotel Name									,Rating,Rating Corrigido,Rating Manipulável,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Preço Corrigido,Tax,Taxa Corrigida,Preço em R$,,Taxa em R$
Gokulam Park,4.1,"4,1","4,1",Very Good,1058,4,Chithirapuram,city centre,10.2 km,"2,728",2728,574,574,"R$163,92","R$163,25","R$34,49"
Sterling Munnar,3.8,"3,8","3,8",Very Good,1088,4,Chinnakanal,city centre,19.2 km,"4,451",4451,969,969,"R$267,46","R$266,36","R$58,23"
Issacs Residency,4.1,"4,1","4,1",Very Good,322,3,Central Munnar,Attukal Waterfalls,950 m,"2,758",2758,684,684,"R$165,73","R$165,04","R$41,10"
Tea Valley Resort,4.3,"4,3","4,3",Excellent,1337,4,Pallivasal,city centre,4.8 km,"2,675",2675,756,756,"R$160,74","R$160,08","R$45,43"
Grand Plaza,4.3,"4,3","4,3",Excellent,1058,4,Moolakadai,Attukal Waterfalls,1.9 km,"3,203",3203,654,654,"R$192,47","R$191,67","R$39,30"
Misty Mountain Resort,4.2,"4,2","4,2",Very Good,1934,4,Pallivasal,city centre,7.5 km,"3,145",3145,848,848,"R$188,98","R$188,20","R$50,96"
Eastend Munnar,3.9,"3,9","3,9",Very Good,437,4,Central Munnar,Attukal Waterfalls,770 m,"3,493",3493,713,713,"R$209,89","R$209,03","R$42,84"
Seven Springs Plantation Resort,3.7,"3,7","3,7",Very Good,6,3,Laxmi Estate,city centre,12.3 km,"2,255",2255,554,554,"R$135,50","R$134,94","R$33,29"
Clouds Valley Leisure Hotel,4,4,4,Very Good,599,4,Near Munnar Bus Stand,Attukal Waterfalls,2.2 km,"2,595",2595,530,530,"R$155,93","R$155,29","R$31,85"
Broad Bean Resort & Spa,4.1,"4,1","4,1",Very Good,249,5,Muthirapuzhayar Road,city centre,13.1 km,"5,583",5583,"1,141",1141,"R$335,48","R$334,10","R$68,56"
KTDC Tea County,4.4,"4,4","4,4",Excellent,851,4,Central Munnar,Attukal Waterfalls,1.7 km,"5,022",5022,"1,026",1026,"R$301,77","R$300,53","R$61,65"
Parakkat Nature Resorts,4.3,"4,3","4,3",Excellent,1310,5,Pallivasal,city centre,7.8 km,"9,977",9977,"2,682",2682,"R$599,51","R$597,04","R$161,16"
"Chithirapuram Palace | Rooms & Restaurant
Like a 3",4.5,"4,5","4,5",Excellent,96,1,Chithirapuram,city centre,10.8 km,"2,494",2494,634,634,"R$149,86","R$149,25","R$38,10"
Devonshire Greens - The Leisure Hotel & Spa,3.9,"3,9","3,9",Very Good,431,5,Pallivasal,city centre,5.9 km,"4,815",4815,"1,177",1177,"R$289,33","R$288,14","R$70,72"
Sn Holiday Home,4.2,"4,2","4,2",Very Good,369,1,Anachal,city centre,11.1 km,966,966,229,229,"R$58,05","R$57,81","R$13,76"
Vibe Munnar,4.6,"4,6","4,6",Excellent,136,5,Ettycity Road,city centre,13.1 km,"7,905",7905,"2,38",238,"R$475,00","R$473,05","R$14,30"
Landy Queen Homestay | Rooms & Caretaker,4.5,"4,5","4,5",Excellent,188,1,Central Munnar,Attukal Waterfalls,1.1 km,"1,279",1279,269,269,"R$76,85","R$76,54","R$16,16"
juSTa Rangers Munnar,4.2,"4,2","4,2",Very Good,188,4,Adimali,city centre,23.8 km,"3,481",3481,946,946,"R$209,17","R$208,31","R$56,84"
The Panoramic Getaway,4.6,"4,6","4,6",Excellent,939,5,Chithirapuram,city centre,9.8 km,"11,974",11974,"4,617",4617,"R$719,51","R$716,55","R$277,43"
Hotel Hillview,3.9,"3,9","3,9",Very Good,501,4,Moolakadai,Attukal Waterfalls,2.5 km,"2,82",282,693,693,"R$16,95","R$16,88","R$41,64"
Tea Castle,3.8,"3,8","3,8",Very Good,157,3,Chithirapuram,city centre,9.3 km,"1,791",1791,366,366,"R$107,62","R$107,18","R$21,99"
"Tulsi Village Retreat | Treehouse & Cabin Stays
Like a 3",3.9,"3,9","3,9",Very Good,352,1,Adimali,city centre,21.6 km,"1,545",1545,346,346,"R$92,84","R$92,46","R$20,79"
Elixir Hills Suites Resort & Spa,4.2,"4,2","4,2",Very Good,986,5,Laxmi Estate,city centre,13.0 km,"7,784",7784,"2,092",2092,"R$467,73","R$465,81","R$125,71"
Bellmount Resorts,3.9,"3,9","3,9",Very Good,1204,3,Central Munnar,Attukal Waterfalls,860 m,"2,364",2364,586,586,"R$142,05","R$141,47","R$35,21"
Amber Dale Luxury Hotel and Spa,4.4,"4,4","4,4",Excellent,1047,5,Pallivasal,city centre,6.4 km,"5,661",5661,"1,216",1216,"R$340,16","R$338,76","R$73,07"
"Jungle Jive Tree House | Rooms in a Homestay
Like a 3",3.8,"3,8","3,8",Very Good,10,1,Munnar,city centre,15.0 km,"5,204",5204,"1,134",1134,"R$312,70","R$311,42","R$68,14"
